Language,Index,Time
Python,50000,24.46
Perl6,50000,1.06
Python,10000,0.31
Perl6,10000,0.36
Python,20000,1.48
Perl6,20000,0.47
Python,30000,4.53
Perl6,30000,0.71
Python,65535,58.34
Perl6,65535,1.18
Python3.7,10000,0.28
Python3.7,20000,1.31
Python3.7,30000,4.31
Python3.7,50000,23.22
Python3.7,65535,56.07
PyPy3.5,10000,0.13
PyPy3.5,20000,0.41
PyPy3.5,30000,0.9
PyPy3.5,50000,2.42
PyPy3.5,65535,4.2
